id,category_name,category_level,parent_category
cbbc2296-2e6e-42ae-988e-e453d6121390,bakery,1,
2aeb92ac-c1db-46ca-b546-ffc85ef3d13c,beverages,1,
81097bc0-3669-4c73-b586-4980b4f255bd,dairy,1,
544a0e72-34c7-4c93-95de-c7fb2deab071,fresh,1,
76115a76-c843-4596-972f-0ac2508c5611,frozen,1,
6639c556-d794-45ce-b18f-d88f95def33a,instant,1,
d74c380f-c255-4478-8eec-396ebc6b970a,meat,1,
e2913124-71e2-449a-b54c-194911c1f3f1,nourish,1,
3a6dc651-2d2b-4465-8d65-ccacee29e2cb,pantry,1,
f95266af-f108-494d-8480-5f8bbf891772,snacks,1,
ed06b94f-1f04-426b-8a5e-460c33000e5c,spices,1,
3ef9113f-7c5f-4c4f-89c8-88956020b884,batter,2,76115a76-c843-4596-972f-0ac2508c5611
7a240733-c231-4b3c-804f-df7aef4024fc,beef,2,d74c380f-c255-4478-8eec-396ebc6b970a
15db0f06-0399-43b3-a471-459187f47c95,biscuits,2,f95266af-f108-494d-8480-5f8bbf891772
fc5cf86c-51eb-44c7-bf63-e91f3a07d123,bread,2,cbbc2296-2e6e-42ae-988e-e453d6121390
f55e787e-51d0-43c9-a19b-d4061f334836,breakfast,2,6639c556-d794-45ce-b18f-d88f95def33a
b381df1e-41d1-4fab-986c-60010c6152c5,buns,2,cbbc2296-2e6e-42ae-988e-e453d6121390
90d00e33-86a6-4068-97ce-88b8f4392c6c,butter,2,81097bc0-3669-4c73-b586-4980b4f255bd
41c44993-3269-4b14-ae84-071d51355ccd,cakes,2,cbbc2296-2e6e-42ae-988e-e453d6121390
cc5ed2ca-cb00-4756-a4b6-01f047b0796d,cheese,2,81097bc0-3669-4c73-b586-4980b4f255bd
3fc9397c-fdf7-4a8a-ae0f-39cda10ec646,chicken,2,d74c380f-c255-4478-8eec-396ebc6b970a
560b3057-a0f4-456c-b865-f870ee3f89e8,chips,2,f95266af-f108-494d-8480-5f8bbf891772
add2aca7-0163-4f8c-b98e-888df74d585e,coffee,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
595098e6-ce36-4bb5-96a0-0ce374093820,cookies,2,cbbc2296-2e6e-42ae-988e-e453d6121390
985323f0-4973-4b40-9a60-e6c1a2e96bc0,croissants,2,cbbc2296-2e6e-42ae-988e-e453d6121390
4b087ab7-1b86-4c55-be47-ee7782f3138d,crunchies,2,f95266af-f108-494d-8480-5f8bbf891772
34f09ed9-7806-46d6-a50a-c3c3c8051b98,curries,2,6639c556-d794-45ce-b18f-d88f95def33a
8c47bf8d-cb74-4949-997a-af79ae35b2dc,danish,2,cbbc2296-2e6e-42ae-988e-e453d6121390
7033d4f7-5266-4519-8d61-acc248f68bdf,donuts,2,cbbc2296-2e6e-42ae-988e-e453d6121390
1009cc34-5aa7-44e7-9877-dc38d0b64dcc,drinks,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
b4a3efb0-668f-4390-a44b-0ff283fd9ccc,dry,2,ed06b94f-1f04-426b-8a5e-460c33000e5c
fdf60a4d-e4a4-408c-8a51-63c2c3c957a4,eggs,2,d74c380f-c255-4478-8eec-396ebc6b970a
cf46973f-90b8-448a-8f8d-e1f9935b82fb,energy,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
75ba2dc5-3030-4f2a-ba13-a3a13c22fb1a,exotics,2,544a0e72-34c7-4c93-95de-c7fb2deab071
e6d481b2-ec33-4d56-aec3-861310250723,floor,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
060c62c9-a580-42e9-9543-6a81bb4f8680,fruits,2,544a0e72-34c7-4c93-95de-c7fb2deab071
cd6e2769-f89d-47f9-98d3-f615b80edd1d,ghee,2,81097bc0-3669-4c73-b586-4980b4f255bd
44e0c54d-c123-4fa3-a844-bdfb75ba8ff2,ghee,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
719ce707-bc3f-4502-97a1-43951516cd6e,goat,2,d74c380f-c255-4478-8eec-396ebc6b970a
0f299ee7-2c91-4161-9696-920d47b677ab,grain,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
f400ecb4-7e20-4e9d-8cbf-e00443215d0b,green,2,544a0e72-34c7-4c93-95de-c7fb2deab071
1fa51236-9312-46ab-8c26-086ecf6dc6fd,ice blocks,2,76115a76-c843-4596-972f-0ac2508c5611
b8367432-8411-481b-96b3-16cf8b40e601,ice cream,2,76115a76-c843-4596-972f-0ac2508c5611
13fbe058-fbd0-4722-861b-3ee88d8c6534,juice,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
9ec2b94c-d6dd-4b1f-823a-8bc71e18a9a2,kulfi,2,76115a76-c843-4596-972f-0ac2508c5611
eccf1f51-aeaa-4bee-bf17-39bf501e4f61,lamb,2,d74c380f-c255-4478-8eec-396ebc6b970a
5afb3afb-20dc-47c6-9fbd-b806b186c5eb,meat,2,76115a76-c843-4596-972f-0ac2508c5611
e58d5b13-434b-446f-bcfe-744ec6fc0543,meat crackers,2,f95266af-f108-494d-8480-5f8bbf891772
b22e2fee-e8f2-4fb4-9c24-46faf7a6f786,micronutrient,2,e2913124-71e2-449a-b54c-194911c1f3f1
f458d4e4-5bf3-4f67-8f58-3d2ba156a796,milk,2,81097bc0-3669-4c73-b586-4980b4f255bd
6685f677-c852-41fa-b08c-c250646a9127,mix,2,6639c556-d794-45ce-b18f-d88f95def33a
bb0fd09e-c460-407f-87cd-c48af60bd1b3,muffins,2,cbbc2296-2e6e-42ae-988e-e453d6121390
5ec361a4-9316-4578-a681-7a8f4a706ce4,namkeen,2,f95266af-f108-494d-8480-5f8bbf891772
b1e88d84-57ae-4cdc-960e-a0ab41e6cd57,noodles,2,6639c556-d794-45ce-b18f-d88f95def33a
86a35776-1045-4fca-9b51-bc73caa89580,nutrient,2,e2913124-71e2-449a-b54c-194911c1f3f1
12d65039-7f31-4db7-9623-1ff17869af39,nuts,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
9af89bcc-ea9b-4c81-83a4-126a32115319,oil,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
b01f7575-66e6-4178-ac96-5bb460d91289,paneer,2,81097bc0-3669-4c73-b586-4980b4f255bd
1fad7f84-a865-43fb-bb2d-a77f188e565d,pastries,2,cbbc2296-2e6e-42ae-988e-e453d6121390
5d2e2a72-63d8-4fff-9bba-6530b1cf333c,pickle,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
a615c6c7-ce35-4061-a4d8-c2365b274c8a,pies,2,cbbc2296-2e6e-42ae-988e-e453d6121390
f5ae1a0e-25b4-4286-922c-472a16d17ecb,powder,2,ed06b94f-1f04-426b-8a5e-460c33000e5c
578e47d4-dc4b-4b1b-ab35-c0b8fbdc6b2e,protien bars,2,f95266af-f108-494d-8480-5f8bbf891772
f5766a92-f672-4d8d-bc76-831226da24f0,rice,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
770db260-4a56-412e-9da3-11f134ec4bf1,seafood,2,d74c380f-c255-4478-8eec-396ebc6b970a
b84c1441-401b-47ea-89d2-5a74a9118e18,snack,2,76115a76-c843-4596-972f-0ac2508c5611
6b6c3e86-5e93-437e-9d12-27dd62e249c9,staples,2,544a0e72-34c7-4c93-95de-c7fb2deab071
1affcf34-79e2-4312-812a-7f46dec41033,sweets,2,f95266af-f108-494d-8480-5f8bbf891772
9118b385-5464-4242-b677-868761a6bca1,tea,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
400d983f-6709-448d-b72b-fa6dfe001e49,veg,2,76115a76-c843-4596-972f-0ac2508c5611
5c1d966c-111c-4ae6-990b-8b73d682da31,yogurt,2,81097bc0-3669-4c73-b586-4980b4f255bd
